crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
1054394,4542,05A,UN,600,Unfounded,Unsustained,0,0432,17,3716,E 104TH ST,CHICAGO IL 60617,2012-05-30 00:00:00,2012-05-30,2013-01-24,309,not-sustained
1055640,4542,03B,,600,No Affidavit,Unsustained,0,0424,17,3023,E 90TH ST,CHICAGO IL,2012-03-24 10:35:00,2012-07-18,2012-10-18,1083,not-sustained
1059168,4542,01B,,600,No Affidavit,Unsustained,0,0433,17,3738,E 114TH ST,CHICAGO IL,2012-12-22 22:25:00,2012-12-23,2013-04-01,1298,not-sustained
1063631,4542,03D,,600,No Affidavit,Unsustained,0,0422,17,2935,E 80TH ST,CHICAGO IL,2012-12-28 19:06:00,2013-07-17,2014-01-17,9,not-sustained
1063527,4542,05A,UN,600,Unfounded,Unsustained,0,0424,17,9101,S COMMERCIAL AVE,CHICAGO IL,2013-07-02 13:45:00,2013-07-14,2013-12-10,771,not-sustained
1063915,4542,03G,,600,No Affidavit,Unsustained,0,0432,17,9954,S EWING AVE,CHICAGO IL,2013-07-30 21:00:00,2013-07-30,2013-10-07,1138,not-sustained
1063935,4542,,,,Unknown,Unknown,?,0432,17,9700,S AVENUE L,CHICAGO IL 60617,2013-06-14 17:00:00,2013-07-31,,798,open-investigation
1064367,4542,10D,,,Unknown,Unknown,?,0433,19,,,,2013-08-19 20:30:00,2013-08-20,2014-02-21,1138,unknown
1066371,4542,05A,,600,No Affidavit,Unsustained,0,0432,17,9545,S AVENUE M,CHICAGO IL,2013-07-25 22:04:00,2013-12-02,2014-02-13,1402,not-sustained
1067478,4542,03B,EX,600,Exonerated,Unsustained,0,0411,17,7620,S DORCHESTER AVE,CHICAGO IL,2014-02-12 13:15:00,2014-02-12,2014-04-09,843,not-sustained
1072886,4542,,,,Unknown,Unknown,?,0423,19,,,,2014-03-09 20:45:00,2014-12-09,,1170,open-investigation
1068499,4542,03C,,600,No Affidavit,Unsustained,0,0433,19,,,,2014-04-08 19:00:00,2014-04-09,2014-05-21,12,not-sustained
1069640,4542,03D,,600,No Affidavit,Unsustained,0,0431,17,2800,E 97TH ST,CHICAGO IL,2014-06-01 15:00:00,2014-06-06,2014-07-16,843,not-sustained
1070963,4542,03D,,600,No Affidavit,Unsustained,0,0423,17,8400,S ESSEX AVE,CHICAGO IL 60617,2014-07-31 12:32:00,2014-08-13,2014-10-01,1223,not-sustained
1071700,4542,03D,,600,No Affidavit,Unsustained,0,0434,17,10658,S OGLESBY AVE,CHICAGO IL,2014-09-24 21:30:00,2014-09-25,2014-11-04,1223,not-sustained
