,crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
19249,1044449,0.0,,,,Unknown,Unknown,?,2324.0,17,3601.0,N CLARK ST,CHICAGO IL 60613,2011-04-03 04:00:00,2011-04-03,2011-07-26,378.0,unknown
19251,1044454,0.0,,,,Unknown,Unknown,?,1011.0,17,1306.0,S SPRINGFIELD AVE,CHICAGO IL 60623,2011-04-03 11:30:00,2011-04-03,2011-04-11,702.0,unknown
19252,1044456,0.0,,,,Unknown,Unknown,?,1632.0,17,7171.0,W IRVING PARK RD,CHICAGO IL 60634,2011-04-03 14:35:00,2011-04-03,2012-02-09,1493.0,unknown
19253,1044460,0.0,,,,Unknown,Unknown,?,1414.0,04,2150.0,N CALIFORNIA AVE,CHICAGO IL 60647,2011-04-03 00:00:00,2011-04-03,2011-06-24,1105.0,unknown
19255,1044469,0.0,,,,Unknown,Unknown,?,1913.0,04,2452.0,W BELMONT AVE,CHICAGO IL,2011-03-30 00:00:00,2011-04-04,2011-06-17,1391.0,unknown
19256,1044472,0.0,,,,Unknown,Unknown,?,732.0,17,7140.0,S EMERALD AVE,CHICAGO IL 60621,2011-04-04 00:00:00,2011-04-04,2011-06-17,47.0,unknown
19257,1044477,0.0,,,,Unknown,Unknown,?,724.0,17,6331.0,S CARPENTER ST,CHICAGO IL 60621,2011-04-04 00:00:00,2011-04-04,2011-07-29,221.0,unknown
19258,1044488,0.0,,,,Unknown,Unknown,?,913.0,17,3600.0,S ROCKWELL ST,CHICAGO IL,2011-04-04 20:20:00,2011-04-04,2011-06-28,952.0,unknown
19259,1044495,0.0,,,,Unknown,Unknown,?,2013.0,17,5700.0,N RIDGE AVE,CHICAGO IL 60660,2011-04-04 19:00:00,2011-04-05,2014-08-20,1156.0,unknown
19260,1044501,0.0,,,,Unknown,Unknown,?,1023.0,17,1200.0,S FAIRFIELD AVE,CHICAGO IL,2011-04-02 15:00:00,2011-04-05,2011-07-11,316.0,unknown
19262,1044519,0.0,,,,Unknown,Unknown,?,2531.0,17,1200.0,N WALLER AVE,CHICAGO IL 60651,2011-04-05 11:00:00,2011-04-06,2011-06-23,1349.0,unknown
19263,1044529,0.0,,,,Unknown,Unknown,?,1112.0,17,3900.0,W AUGUSTA BLVD,CHICAGO IL 60651,2011-04-06 00:00:00,2011-04-06,2011-06-01,1295.0,unknown
19264,1044530,0.0,,,,Unknown,Unknown,?,211.0,04,3510.0,S MICHIGAN AVE,CHICAGO IL 60653,2011-04-06 00:00:00,2011-04-06,2011-05-18,715.0,unknown
19265,1044532,0.0,,,,Unknown,Unknown,?,213.0,04,3510.0,S MICHIGAN AVE,CHICAGO IL 60653,2011-04-06 00:00:00,2011-04-06,2012-07-30,1090.0,unknown
19266,1044533,0.0,,,,Unknown,Unknown,?,1823.0,17,868.0,N HUDSON AVE,CHICAGO IL,2011-04-06 13:00:00,2011-04-06,2013-04-26,1156.0,unknown
19267,1044534,0.0,,,,Unknown,Unknown,?,322.0,17,6700.0,S CHICAGO SKYWAY OB,CHICAGO IL 60637,2011-04-06 00:00:00,2011-04-06,2012-10-23,1385.0,unknown
